date,city,temperature (C)
2023-08-10,Phoenix,17.9
2023-04-18,,
2023-06-24,New York,8.1
2023-05-27,New York,16.3
2023-04-19,Austin,7.7
2023-02-26,New York,20.5
2023-03-13,Seattle,20.7
2023-08-04,,21.9
2023-09-11,Phoenix,36.7
2023-01-17,Austin,32.7
2023-06-03,,
2023-10-24,Seattle,4.1
2023-07-09,Seattle,24.3
2023-03-02,New York,9.5
,Seattle,34.5
2023-09-19,Austin,39.2
2023-10-27,New York,14.2
2023-03-29,Seattle,14.5
2023-02-04,New York,17.6
2023-08-30,Phoenix,27.9
2023-07-09,Seattle,9.3
2023-09-27,Seattle,27.5
2023-09-09,,30.3
,Austin,25.7
2023-05-25,Phoenix,4.7
2023-12-19,San Diego,3.0
2023-03-19,Austin,8.3
2023-12-05,Austin,26.9
2023-09-15,Seattle,23.1
2023-04-12,Seattle,19.1
2023-04-02,Seattle,30.1
2023-08-03,,33.7
2023-08-17,Seattle,22.4
,New York,7.8
2023-11-25,San Diego,
2023-07-21,Phoenix,17.4
2023-02-08,Seattle,28.1
2023-11-29,New York,1.0
2023-02-18,San Diego,39.1
2023-02-06,,30.8
2023-12-24,San Diego,
2023-08-06,Seattle,25.0
2023-12-16,San Diego,5.4
2023-01-21,Phoenix,15.8
2023-12-27,Phoenix,36.7
2023-09-22,New York,16.7
2023-09-12,Seattle,
2023-07-19,,10.6
2023-08-09,Austin,11.7
2023-08-18,Seattle,2.1
2023-10-18,,5.4
2023-01-08,San Diego,22.9
,San Diego,11.9
2023-02-10,Phoenix,26.5
2023-02-05,Austin,21.8
2023-10-18,Seattle,9.5
2023-02-05,Austin,20.6
,Seattle,19.9
,Seattle,13.5
2023-03-14,New York,14.6
2023-09-15,,10.2
,New York,14.7
,Austin,4.3
2023-01-31,Austin,20.7
2023-08-31,New York,38.1
2023-09-17,,6.2
2023-12-14,San Diego,35.1
2023-07-04,New York,11.2
2023-03-19,Austin,35.3
2023-09-08,Austin,0.0
,Austin,39.3
2023-09-28,Seattle,15.5
2023-04-28,Seattle,11.0
2023-01-26,Seattle,5.1
2023-09-22,New York,7.7
2023-12-09,Phoenix,38.7
2023-09-14,Phoenix,39.6
2023-09-01,New York,25.1
2023-07-02,Seattle,26.6
2023-03-01,New York,
2023-06-19,Phoenix,15.1
2023-09-16,Austin,35.6
2023-07-17,Phoenix,11.2
2023-04-26,San Diego,28.3
2023-02-08,San Diego,19.7
2023-09-24,San Diego,0.6
2023-12-08,Seattle,35.1
,,32.3
2023-12-07,Seattle,25.2
2023-04-25,Austin,32.6
2023-07-15,Austin,28.1
2023-03-16,San Diego,0.3
2023-01-25,,23.0
2023-05-08,Seattle,39.0
2023-07-14,San Diego,5.7
2023-04-23,San Diego,13.8
2023-11-11,San Diego,2.4
2023-08-25,San Diego,0.2
2023-12-06,Austin,28.6
2023-07-08,Seattle,35.9
2023-11-09,Austin,27.2
2023-09-07,San Diego,18.6
2023-10-20,San Diego,28.8
2023-09-14,San Diego,37.8
2023-10-26,Austin,3.7
2023-01-22,Phoenix,38.3
2023-04-25,New York,17.7
2023-05-23,San Diego,12.9
2023-06-16,San Diego,16.7
2023-04-08,San Diego,6.9
2023-04-24,New York,20.0
2023-08-27,Phoenix,29.4
2023-12-21,Austin,3.5
2023-12-26,Seattle,10.7
2023-01-24,Seattle,22.0
2023-09-28,New York,1.7
2023-07-07,Austin,
2023-03-28,Seattle,11.4
2023-11-16,New York,34.0
2023-04-09,Phoenix,29.5
2023-12-27,Seattle,36.2
2023-05-28,Austin,36.2
2023-04-05,Phoenix,31.5
2023-10-02,New York,7.8
2023-01-10,New York,18.7
2023-07-16,New York,37.2
2023-06-21,Austin,10.8
2023-04-29,Austin,28.2
2023-04-10,New York,
,New York,7.9
2023-04-12,Austin,19.7
2023-11-20,New York,33.9
2023-11-23,Phoenix,
2023-02-26,Austin,
2023-11-27,Austin,
2023-06-09,Phoenix,21.4
2023-09-14,,29.8
2023-10-09,Austin,
,,18.4
2023-08-05,Seattle,27.2
2023-10-09,New York,28.6
2023-04-06,New York,33.5
2023-11-08,Phoenix,33.1
2023-06-21,Austin,35.2
2023-01-19,Austin,21.3
2023-02-05,,29.5
2023-08-09,San Diego,9.5
2023-08-10,Phoenix,34.5
2023-10-11,Phoenix,9.2
2023-08-25,New York,23.5
2023-11-08,Phoenix,
2023-02-13,San Diego,2.0
2023-05-12,Austin,31.1
2023-07-06,New York,22.0
2023-06-27,New York,20.7
2023-04-10,Seattle,31.5
2023-05-05,San Diego,37.2
2023-10-24,New York,18.1
,Seattle,17.7
2023-01-06,San Diego,36.3
2023-02-26,,30.9
2023-09-05,San Diego,
2023-09-23,San Diego,25.8
2023-12-24,,9.7
2023-11-13,Phoenix,8.3
2023-08-09,San Diego,39.5
2023-07-28,Seattle,0.1
2023-10-07,New York,36.4
2023-05-30,Phoenix,19.7
2023-11-15,,15.3
,Austin,17.6
2023-04-05,New York,22.5
2023-05-18,Seattle,32.1
2023-02-03,Austin,
2023-04-03,,18.7
2023-03-09,San Diego,25.3
2023-05-25,Seattle,21.9
2023-09-21,San Diego,37.8
2023-11-24,Seattle,13.4
,Austin,27.7
2023-06-22,Phoenix,20.6
2023-12-16,Austin,25.5
2023-04-22,Seattle,21.7
2023-06-13,Seattle,24.7
2023-12-19,Seattle,36.2
2023-02-27,New York,24.4
2023-07-07,Phoenix,23.4
2023-07-30,Phoenix,30.9
2023-03-13,Phoenix,30.7
2023-03-06,,13.5
2023-10-17,New York,36.7
2023-05-10,New York,39.8
2023-08-17,New York,29.9
2023-02-05,,21.0
,Austin,29.8
2023-09-25,New York,38.4
,Austin,30.6
2023-02-27,New York,6.8
2023-02-11,Phoenix,20.5
2023-05-14,Phoenix,26.2
2023-12-11,New York,11.2
2023-04-03,San Diego,16.9
2023-08-23,Phoenix,14.3
2023-12-22,New York,
2023-10-01,Phoenix,12.3
2023-11-01,Austin,31.3
,San Diego,1.3
2023-12-20,San Diego,5.1
2023-09-08,New York,8.9
,Seattle,29.9
2023-12-28,New York,33.3
2023-10-25,Seattle,32.3
2023-03-16,,23.3
2023-02-02,Phoenix,32.8
2023-11-14,Austin,3.0
2023-09-03,Seattle,7.0
2023-08-03,Phoenix,28.8
2023-02-06,Austin,38.4
2023-11-10,New York,38.2
2023-05-02,Austin,
,,14.3
2023-08-02,Phoenix,14.5
2023-05-29,,36.2
2023-10-27,New York,14.5
2023-01-10,San Diego,12.4
2023-11-03,New York,16.6
2023-01-23,New York,
2023-12-04,San Diego,33.4
2023-02-06,Seattle,6.9
2023-02-12,,6.5
2023-02-24,San Diego,
2023-03-18,Seattle,5.5
2023-04-16,Austin,18.8
2023-03-14,Phoenix,
2023-04-02,New York,2.9
2023-07-19,San Diego,38.8
2023-04-19,Austin,13.1
2023-05-02,Seattle,24.9
,Seattle,13.7
2023-03-16,Austin,10.8
2023-06-13,New York,27.1
2023-02-25,,
2023-07-22,San Diego,18.5
2023-08-03,Austin,10.9
2023-07-03,New York,
2023-12-05,Austin,30.5
,Seattle,19.1
2023-03-29,Phoenix,17.2
2023-08-12,,27.2
2023-11-01,,
2023-02-01,Seattle,
2023-05-25,San Diego,19.1
2023-02-02,Seattle,13.8
2023-12-03,Seattle,29.4
2023-10-01,New York,4.3
2023-05-29,New York,28.1
2023-02-10,New York,22.6
2023-08-11,Seattle,10.0
2023-05-13,Austin,11.3
2023-07-23,,19.7
2023-05-31,Phoenix,9.9
2023-03-01,San Diego,10.7
2023-07-04,New York,
2023-01-03,San Diego,18.2
2023-10-03,Austin,
2023-10-02,San Diego,4.6
2023-04-09,Phoenix,4.1
2023-01-09,Austin,6.6
2023-08-17,,16.2
2023-10-13,Seattle,21.4
2023-11-14,New York,21.3
2023-05-26,San Diego,
2023-12-08,San Diego,16.5
2023-01-03,Austin,4.3
2023-01-31,Seattle,35.7
2023-05-21,Austin,9.5
2023-07-13,,20.5
,Seattle,36.4
2023-12-19,Seattle,28.7
,Austin,
2023-07-26,Seattle,18.7
2023-04-27,,13.6
2023-05-21,Austin,38.9
2023-09-15,San Diego,30.2
2023-08-03,,1.1
,Phoenix,33.0
2023-08-15,Seattle,
2023-07-14,Austin,30.4
2023-01-06,Seattle,4.5
2023-09-11,,26.0
2023-11-04,San Diego,11.0
2023-05-19,Seattle,17.5
2023-12-17,San Diego,26.8
2023-11-07,Seattle,34.5
,New York,16.6
2023-07-07,San Diego,2.7
2023-02-03,,35.8
2023-10-31,Seattle,5.6
2023-10-08,Phoenix,5.4
2023-10-03,Seattle,20.8
2023-08-04,Seattle,7.6
2023-12-02,Austin,26.0
2023-08-24,Phoenix,8.8
2023-07-17,Austin,2.7
2023-03-01,Seattle,7.9
2023-02-12,San Diego,31.7
2023-07-11,,24.7
2023-01-29,New York,0.5
2023-11-04,Austin,20.5
2023-05-02,Austin,23.1
2023-11-12,Seattle,21.5
,,2.8
2023-08-10,Austin,17.6
2023-12-20,Austin,
2023-10-18,Austin,15.9
2023-12-25,Seattle,10.4
2023-10-14,Phoenix,19.6
2023-08-11,San Diego,38.3
2023-05-20,Austin,23.4
2023-11-06,New York,12.4
2023-03-22,New York,
,Seattle,12.5
,Austin,17.7
2023-10-24,Austin,0.2
,San Diego,13.5
2023-04-22,New York,20.5
2023-07-12,Phoenix,18.4
2023-06-21,Phoenix,
2023-10-31,New York,37.4
2023-12-20,Seattle,4.9
2023-05-23,Seattle,
2023-02-09,New York,25.7
,Phoenix,25.2
2023-08-21,Seattle,15.8
2023-02-04,Phoenix,26.6
2023-01-03,New York,15.8
2023-01-16,San Diego,31.6
2023-11-18,New York,15.6
2023-09-18,San Diego,23.4
2023-12-27,,21.5
2023-07-19,San Diego,3.0
2023-11-06,New York,16.6
2023-09-07,Seattle,8.7
2023-07-28,Seattle,5.3
2023-01-12,New York,7.6
2023-01-21,San Diego,35.0
,New York,8.3
2023-05-08,Seattle,9.6
2023-05-14,Phoenix,22.3
2023-12-15,San Diego,0.1
2023-08-30,Seattle,25.0
2023-09-03,Seattle,39.5
2023-12-09,Phoenix,11.5
2023-02-22,,15.3
2023-05-29,,11.5
2023-10-05,Phoenix,21.2
2023-01-21,Austin,29.5
2023-11-01,New York,17.0
,San Diego,29.8
2023-02-14,San Diego,30.1
2023-01-26,Austin,10.1
2023-05-28,Phoenix,14.2
2023-12-04,Austin,24.5
,San Diego,18.0
2023-01-03,Austin,34.9
2023-10-02,,1.7
2023-11-05,Seattle,22.5
2023-03-29,Seattle,
,San Diego,32.4
2023-03-30,New York,1.9
2023-12-08,Phoenix,2.4
2023-10-28,Phoenix,
2023-03-24,,20.3
2023-03-25,,36.4
2023-05-14,,
2023-05-13,Seattle,9.6
2023-05-06,Seattle,24.9
2023-12-16,Phoenix,17.6
2023-08-15,Austin,11.5
2023-04-19,New York,16.4
2023-02-20,Seattle,21.4
2023-05-22,New York,27.7
2023-11-17,,30.8
2023-03-22,Seattle,16.6
2023-09-09,New York,14.1
2023-11-07,San Diego,33.2
2023-10-24,San Diego,3.4
,Seattle,4.0
2023-12-05,,22.3
2023-09-28,New York,28.9
2023-09-15,,9.2
2023-03-28,Seattle,15.1
2023-03-15,Austin,30.1
2023-09-15,Seattle,28.1
2023-12-23,San Diego,35.2
2023-03-21,New York,11.1
2023-08-29,San Diego,17.0
2023-12-21,San Diego,0.8
2023-09-25,San Diego,20.7
2023-11-23,San Diego,39.9
2023-04-01,Austin,20.2
,Seattle,29.1
2023-04-27,Phoenix,
2023-08-17,Seattle,10.3
2023-10-28,,36.7
,Phoenix,35.7
2023-10-09,Phoenix,19.8
2023-03-08,,3.0
2023-01-07,New York,22.7
2023-05-04,Austin,19.5
2023-09-25,,6.1
2023-12-21,San Diego,18.0
2023-07-12,Austin,16.7
2023-06-10,Phoenix,28.5
2023-07-13,Seattle,2.8
2023-11-24,Austin,
2023-04-14,New York,21.0
2023-03-09,,16.5
2023-06-03,Seattle,7.1
2023-02-28,San Diego,17.2
2023-11-07,,32.4
2023-09-02,New York,15.9
,New York,23.1
2023-08-02,San Diego,30.3
2023-12-07,Austin,6.1
2023-06-09,,20.7
2023-01-23,,
2023-04-02,Phoenix,37.8
2023-09-29,San Diego,7.2
,Seattle,16.9
2023-11-30,Phoenix,3.7
2023-11-21,San Diego,34.7
,Austin,20.8
2023-11-25,San Diego,20.5
,Phoenix,6.4
2023-10-28,Seattle,
2023-07-31,San Diego,3.0
2023-02-27,Austin,11.5
2023-12-11,San Diego,2.2
2023-12-19,Austin,32.9
2023-03-21,Phoenix,
2023-01-12,San Diego,
2023-06-12,Seattle,
2023-01-12,San Diego,10.6
2023-08-29,Seattle,4.5
2023-12-11,,18.4
2023-08-19,Seattle,4.5
2023-12-13,New York,34.1
2023-04-23,Seattle,
2023-08-15,Seattle,22.7
2023-11-05,Austin,39.8
2023-09-17,Seattle,
2023-11-20,Seattle,
2023-06-15,Phoenix,1.8
2023-11-02,Phoenix,36.6
2023-10-29,Seattle,34.8
2023-07-12,New York,25.1
,,17.7
2023-01-22,Phoenix,16.7
2023-07-06,San Diego,11.8
2023-08-19,Austin,17.8
2023-10-12,Austin,19.1
2023-11-15,New York,
2023-04-01,Seattle,15.1
2023-01-13,New York,32.9
2023-01-29,New York,19.1
2023-10-31,San Diego,32.4
2023-12-09,Seattle,27.7
2023-02-16,Seattle,6.0
2023-08-17,San Diego,28.4
2023-11-18,Austin,0.0
2023-05-19,,8.4
2023-03-10,Phoenix,21.8
2023-08-20,Seattle,25.7
2023-04-05,San Diego,14.6
2023-04-14,San Diego,3.9
2023-02-25,San Diego,27.9
2023-04-03,Phoenix,28.7
2023-08-17,Seattle,8.4
2023-11-05,,5.7
2023-05-10,San Diego,36.9
2023-07-18,Seattle,24.8
,Austin,24.5
2023-06-11,Phoenix,26.7
2023-01-05,Phoenix,29.4
2023-02-26,New York,38.5
2023-04-29,Austin,20.8
2023-05-31,Seattle,4.7
2023-05-04,San Diego,14.6
2023-03-16,,33.2
2023-12-29,New York,23.3
2023-02-06,Seattle,9.0
2023-07-30,Seattle,7.1
2023-11-03,New York,16.0
,Phoenix,19.2
2023-11-18,Phoenix,30.8
2023-04-19,San Diego,25.0
2023-06-27,Phoenix,33.2
2023-06-14,Austin,13.6
,Seattle,9.7
2023-06-30,Seattle,27.4
2023-12-21,New York,16.4
2023-04-26,New York,24.9
2023-10-05,Seattle,28.5
2023-03-05,Seattle,29.5
2023-05-01,Austin,8.5
2023-10-09,Austin,32.1
2023-05-11,Seattle,13.2
,New York,3.4
2023-10-07,San Diego,16.4
2023-07-06,Austin,21.4
2023-10-26,Austin,13.4
2023-01-22,New York,7.1
2023-08-14,,9.2
2023-10-28,,27.4
2023-02-17,New York,28.6
2023-04-22,Phoenix,3.6
2023-12-02,Phoenix,33.7
2023-11-24,,19.8
2023-11-05,New York,6.2
2023-10-10,Austin,20.0
2023-05-08,New York,21.8
2023-04-11,New York,23.6
2023-08-21,San Diego,36.1
2023-11-09,San Diego,2.9
2023-08-08,Phoenix,14.3
2023-11-14,Phoenix,36.7
2023-04-23,Seattle,9.5
2023-02-21,Austin,37.6
2023-08-27,San Diego,2.1
2023-04-26,San Diego,12.6
2023-10-08,Austin,19.3
2023-07-10,Seattle,15.1
2023-04-11,Austin,6.9
2023-12-03,San Diego,18.4
2023-05-17,Phoenix,36.9
2023-06-23,Phoenix,9.8
2023-11-14,New York,8.8
2023-12-07,San Diego,26.6
2023-08-01,Phoenix,1.2
2023-01-03,San Diego,35.1
2023-02-21,San Diego,10.6
2023-02-16,,33.6
2023-02-18,Seattle,16.3
2023-01-30,New York,26.9
2023-05-24,Phoenix,30.8
2023-03-15,Seattle,10.8
2023-07-03,Phoenix,17.4
2023-10-04,Seattle,14.8
2023-08-05,Phoenix,12.4
2023-11-18,San Diego,13.5
2023-04-21,Austin,38.0
2023-07-19,Austin,8.0
2023-04-01,Phoenix,5.6
2023-08-04,Phoenix,25.5
2023-05-13,Phoenix,19.6
2023-12-10,,29.1
2023-07-18,San Diego,2.8
2023-01-10,,24.8
2023-11-27,New York,11.6
2023-09-27,Austin,27.9
2023-10-04,Seattle,20.8
2023-03-31,Phoenix,6.9
2023-03-27,New York,23.8
2023-01-19,Austin,26.1
2023-06-10,New York,0.4
,San Diego,
2023-11-02,Seattle,17.6
2023-11-01,,8.5
2023-02-12,Seattle,3.5
2023-03-06,Seattle,36.7
2023-03-21,New York,33.8
,Phoenix,10.3
2023-10-30,San Diego,13.2
,Seattle,30.2
2023-07-03,Phoenix,
2023-12-08,San Diego,4.1
,Phoenix,31.7
2023-04-25,Phoenix,
2023-07-28,Seattle,18.6
2023-06-11,New York,33.0
2023-12-29,San Diego,6.9
2023-06-02,Seattle,14.3
2023-01-27,San Diego,10.9
,Seattle,10.0
2023-02-28,,35.9
2023-05-07,Seattle,15.9
2023-12-10,Austin,0.5
2023-02-07,Seattle,28.5
,,22.5
,San Diego,1.5
2023-10-03,San Diego,35.7
2023-10-04,Seattle,28.6
2023-08-11,Austin,33.2
2023-02-18,Seattle,24.4
2023-12-04,New York,32.8
,,2.5
2023-08-18,New York,38.0
2023-04-09,Phoenix,5.4
2023-07-31,New York,1.8
2023-05-15,Austin,
2023-11-27,Austin,20.7
,Phoenix,9.3
2023-11-20,Seattle,
2023-02-23,New York,9.6
2023-04-25,San Diego,29.4
2023-06-15,Austin,21.0
2023-03-23,New York,0.1
2023-02-04,Phoenix,25.7
2023-05-27,,25.6
2023-12-03,Seattle,32.7
2023-09-21,Phoenix,28.2
2023-08-26,San Diego,23.6
2023-11-15,Seattle,18.1
2023-02-02,New York,0.1
2023-01-08,New York,35.6
2023-12-25,Phoenix,
2023-04-25,Seattle,36.1
2023-05-12,New York,30.7
2023-10-21,Phoenix,22.1
2023-02-11,Phoenix,
2023-08-31,New York,31.1
2023-01-08,Austin,5.7
2023-01-28,Seattle,4.4
2023-12-20,San Diego,39.3
2023-04-17,Seattle,3.4
2023-06-15,New York,14.3
2023-06-14,San Diego,
2023-02-20,San Diego,
2023-05-18,Phoenix,5.0
2023-03-30,Austin,
2023-10-18,Austin,24.6
2023-06-01,San Diego,31.5
2023-10-13,San Diego,17.3
2023-07-27,Phoenix,19.5
2023-06-24,Austin,4.6
2023-01-10,Phoenix,33.8
2023-10-27,Austin,8.5
2023-10-20,San Diego,31.7
2023-09-25,,5.9
2023-12-09,Austin,23.3
2023-03-06,Seattle,9.8
2023-11-30,San Diego,19.2
2023-08-20,Seattle,23.6
,New York,27.9
2023-10-29,San Diego,22.9
2023-01-07,,25.6
2023-07-21,Phoenix,29.3
2023-08-03,Austin,36.6
2023-03-31,New York,13.0
2023-08-27,Phoenix,
2023-07-28,San Diego,39.4
2023-04-23,New York,
2023-01-16,Phoenix,27.2
2023-11-27,Austin,30.6
2023-09-08,Seattle,15.2
2023-02-22,Austin,39.8
2023-04-19,Phoenix,36.2
,San Diego,27.3
2023-11-23,Austin,
2023-12-20,Austin,1.6
2023-09-19,Austin,
2023-05-09,Austin,14.6
2023-06-15,,11.7
2023-07-26,Phoenix,5.1
2023-08-12,San Diego,3.9
2023-06-06,Seattle,
2023-07-05,New York,3.3
2023-09-06,San Diego,4.2
